FIPS,in_Co_190,period,Yield_bu_ac,Prod_g_m2,PPT_wy,Tmax_gs,_90FDays,Pcnt_Cropland_abnd,Grassland,Eros_pct,disturb_min,sand_wt_mean,sandvf_wt_mean,silt_wt_mean,disturbed_wt_mean
19075,yes,postdrought,61,763.126275,872.9098717,24.39239424,0.25,1.977037866,Tallgrass Prairie,0.28091099,42.87,14.15230417,5.772960794,58.38406872,58.56308661
19075,yes,predrought,42,531.2135429,801.3075823,24.77908792,0.428571429,0.381065846,Tallgrass Prairie,0.28091099,42.87,14.15230417,5.772960794,58.38406872,58.56308661
19077,yes,drought,38,473.59965,671.6400476,26.64183333,2.5,14.53506929,Tallgrass Prairie,85.29603123,54.03,21.91954771,9.147105707,48.22435306,61.73567133
19077,yes,postdrought,52,658.77115,845.6816786,24.70447381,0.25,7.769190792,Tallgrass Prairie,85.29603123,54.03,21.91954771,9.147105707,48.22435306,61.73567133
19077,yes,predrought,39,486.0191429,769.734979,25.49793742,1,1.447958637,Tallgrass Prairie,85.29603123,54.03,21.91954771,9.147105707,48.22435306,61.73567133
19079,yes,drought,48,597.727325,716.566335,25.85131819,2.5,6.373631146,Tallgrass Prairie,0.224684819,51.43,29.58468925,10.17127762,40.63173277,60.83507549
19079,yes,postdrought,54,679.328325,835.0043754,24.5059574,0.25,4.359892269,Tallgrass Prairie,0.224684819,51.43,29.58468925,10.17127762,40.63173277,60.83507549
19079,yes,predrought,41,512.9205714,759.1135876,25.14763963,0.714285714,1.60895882,Tallgrass Prairie,0.224684819,51.43,29.58468925,10.17127762,40.63173277,60.83507549
19081,yes,drought,43,538.88045,708.8980394,24.97240341,2.375,5.566507953,Tallgrass Prairie,21.08045248,54.03,29.98906346,10.67588868,41.56636819,58.96246052
19081,yes,postdrought,51,637.272425,800.3026705,23.78718466,0.5,3.917482005,Tallgrass Prairie,21.08045248,54.03,29.98906346,10.67588868,41.56636819,58.96246052
19081,yes,predrought,36,452.1233429,713.9640584,24.16778895,0.285714286,1.935336721,Tallgrass Prairie,21.08045248,54.03,29.98906346,10.67588868,41.56636819,58.96246052
19083,yes,drought,47,594.74575,740.5002779,25.49236943,2.375,4.952647105,Tallgrass Prairie,14.77698921,51.43,25.86508715,9.642477866,46.73331258,57.73603305
19083,yes,postdrought,55,694.8639,850.1984032,24.29997777,0,3.093190649,Tallgrass Prairie,14.77698921,51.43,25.86508715,9.642477866,46.73331258,57.73603305
19083,yes,predrought,39,486.3778286,778.5828257,24.83260001,0.714285714,1.000552164,Tallgrass Prairie,14.77698921,51.43,25.86508715,9.642477866,46.73331258,57.73603305
19085,yes,drought,27,343.03805,586.556536,27.26828813,3.5,15.39909032,Tallgrass Prairie,62.91477984,46.5,9.725775078,5.438177895,63.16383158,57.3459476
19085,yes,postdrought,47,593.961125,774.5162286,25.64568008,1.125,12.89834,Tallgrass Prairie,62.91477984,46.5,9.725775078,5.438177895,63.16383158,57.3459476
19085,yes,predrought,37,469.5196,710.7876759,25.77019612,0.857142857,1.336670888,Tallgrass Prairie,62.91477984,46.5,9.725775078,5.438177895,63.16383158,57.3459476
19087,yes,drought,45,564.61615,808.1687896,26.57611719,1.875,15.14365509,Tallgrass Prairie,53.81503351,51.27,23.4799699,9.45314437,50.05821663,57.1695934
19087,yes,postdrought,55,686.233025,919.6595304,25.57581641,0.25,3.281241031,Tallgrass Prairie,53.81503351,51.27,23.4799699,9.45314437,50.05821663,57.1695934
19087,yes,predrought,41,512.0238572,954.2180357,25.23695982,0.714285714,0.998717182,Tallgrass Prairie,53.81503351,51.27,23.4799699,9.45314437,50.05821663,57.1695934
19089,yes,drought,37,459.947175,754.5507956,23.8429513,1.5,8.45735555,Tallgrass Prairie,9.769555339,0,34.7190514,11.00505973,40.08241055,52.41604216
19089,yes,postdrought,39,493.68605,852.8537822,23.14383765,0,1.132467416,Tallgrass Prairie,9.769555339,0,34.7190514,11.00505973,40.08241055,52.41604216
19089,yes,predrought,29,362.6312572,769.0852135,23.13744713,0.142857143,2.466484126,Tallgrass Prairie,9.769555339,0,34.7190514,11.00505973,40.08241055,52.41604216
19091,yes,drought,47,595.216525,709.0108709,25.38238635,2.375,7.597043714,Tallgrass Prairie,0,53.56,30.46438442,11.1209937,42.17867109,57.36319597
19091,yes,postdrought,55,696.1193,796.6668557,24.04114015,0.75,3.942227253,Tallgrass Prairie,0,53.56,30.46438442,11.1209937,42.17867109,57.36319597
19091,yes,predrought,39,493.5515429,709.3586358,24.74818616,1,0.798524364,Tallgrass Prairie,0,53.56,30.46438442,11.1209937,42.17867109,57.36319597
19093,yes,drought,35,439.233075,625.8484998,25.79940937,2.375,6.987502236,Tallgrass Prairie,98.08768282,50.84,8.896487423,5.223883394,61.05070808,62.50195535
19093,yes,postdrought,53,671.32515,757.6573596,24.41286561,0.625,8.411904219,Tallgrass Prairie,98.08768282,50.84,8.896487423,5.223883394,61.05070808,62.50195535
19093,yes,predrought,36,453.1994,674.476214,24.81259642,0.857142857,0.563936482,Tallgrass Prairie,98.08768282,50.84,8.896487423,5.223883394,61.05070808,62.50195535
19095,yes,drought,48,596.315,753.7910734,25.96973991,2.125,19.0355404,Tallgrass Prairie,74.12504916,40,16.66044078,7.812540855,56.14782524,58.12020738
19095,yes,postdrought,55,693.451575,893.0471217,24.68803031,0.25,2.607384929,Tallgrass Prairie,74.12504916,40,16.66044078,7.812540855,56.14782524,58.12020738
19095,yes,predrought,43,543.9468857,877.1259022,25.14523233,0.714285714,1.503347675,Tallgrass Prairie,74.12504916,40,16.66044078,7.812540855,56.14782524,58.12020738
19097,yes,drought,47,584.70255,800.2867799,24.89858333,1.25,10.92159004,Tallgrass Prairie,91.3695504,0,11.12478885,5.163102706,49.48130736,40.00856132
19097,yes,postdrought,55,689.2146,869.8451387,23.98890404,0.375,3.687580643,Tallgrass Prairie,91.3695504,0,11.12478885,5.163102706,49.48130736,40.00856132
19097,yes,predrought,38,480.2801714,861.4505054,24.45881384,0.285714286,2.170867569,Tallgrass Prairie,91.3695504,0,11.12478885,5.163102706,49.48130736,40.00856132
19099,yes,drought,46,575.6009,739.6131548,26.13322221,1.75,15.86731108,Tallgrass Prairie,86.73899305,40,15.20872046,6.784264986,57.88689831,57.64072613
19099,yes,postdrought,54,682.3099,903.82001,25.18111112,0.375,4.458359558,Tallgrass Prairie,86.73899305,40,15.20872046,6.784264986,57.88689831,57.64072613
19099,yes,predrought,43,535.6971143,831.9366895,25.33527892,0.857142857,1.266780304,Tallgrass Prairie,86.73899305,40,15.20872046,6.784264986,57.88689831,57.64072613
19101,yes,drought,38,479.24895,799.5186744,26.75885607,1.125,19.24016362,Tallgrass Prairie,62.32299616,51.27,22.97410554,9.444035616,50.43268469,57.36113937
19101,yes,postdrought,47,585.0164,919.7303409,25.75245456,0.5,4.733360738,Tallgrass Prairie,62.32299616,51.27,22.97410554,9.444035616,50.43268469,57.36113937
19101,yes,predrought,33,412.8472572,965.3184852,25.48350214,0.571428571,2.10446265,Tallgrass Prairie,62.32299616,51.27,22.97410554,9.444035616,50.43268469,57.36113937
19103,yes,drought,49,614.047525,780.2779088,25.66808412,1.375,12.18384653,Tallgrass Prairie,54.68837037,40,18.34582373,7.283951206,55.34236641,54.75016949
19103,yes,postdrought,59,744.922975,889.3527647,24.66053126,0.125,2.430036896,Tallgrass Prairie,54.68837037,40,18.34582373,7.283951206,55.34236641,54.75016949
19103,yes,predrought,43,539.2839714,884.0146974,24.92504121,0.571428571,1.273963913,Tallgrass Prairie,54.68837037,40,18.34582373,7.283951206,55.34236641,54.75016949
19105,yes,drought,50,629.5831,791.4467668,24.98666576,1.375,9.152239108,Tallgrass Prairie,58.69754951,0,21.79995907,7.871042353,52.27779586,51.65244852
19105,yes,postdrought,58,723.7381,883.5890483,24.17354077,0.25,1.964862858,Tallgrass Prairie,58.69754951,0,21.79995907,7.871042353,52.27779586,51.65244852
19105,yes,predrought,42,529.2407714,860.2403418,24.56983851,0.142857143,1.851305877,Tallgrass Prairie,58.69754951,0,21.79995907,7.871042353,52.27779586,51.65244852
19107,yes,drought,43,539.665075,760.3445053,26.55621094,2.5,14.8897607,Tallgrass Prairie,87.69948311,51.27,20.00658625,8.539776246,53.75901943,56.7228002
19107,yes,postdrought,52,651.5526,904.4323302,25.31661979,0.5,3.641799158,Tallgrass Prairie,87.69948311,51.27,20.00658625,8.539776246,53.75901943,56.7228002
